ID Localidade,País,Continente
1,Estados Unidos,América do Norte
2,Canadá,América do Norte
3,Reino Unido,Europa
4,França,Europa
5,Itália,Europa
6,Alemanha,Europa
7,Holanda,Europa
8,Dinamarca,Europa
9,Suécia,Europa
10,Espanha,Europa
11,Eslovênia,Europa
12,Romênia,Europa
13,Suíça,Europa
14,Polônia,Europa
15,Malta,Europa
16,Irlanda,Europa
17,Grécia,Europa
18,Singapura,Ásia
19,Austrália,Oceania
20,Armênia,Ásia
21,Índia,Ásia
22,Butão,Ásia
23,China,Ásia
24,Irã,Ásia
25,Síria,Ásia
26,Tailândia,Ásia
27,Rússia,Europa
28,Turcomenistão,Ásia
29,Paquistão,Ásia
30,Japão,Ásia
31,Coreia do Sul,Ásia
32,Quirguistão,Ásia
33,Indonésia,Ásia
34,Portugal,Europa